Title,Author(s),Publisher,Publish Year,ISBN,OL Work Key,Page Count,Categories,Description,Cover Image
The Kinslayer Wars,Douglas Niles,,1991,,https://openlibrary.org/works/OL1635386W,309,Fiction,The second title of a classic trilogy that tells the story of Krynn's Elven Nations Divided is now back in print. Reissue.,http://books.google.com/books/content?id=NiAvHQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Wanderlust,"Rebecca Solnit, Liisa Ivary",Penguin,2000,,https://openlibrary.org/works/OL12446W,369,Social Science,"A passionate, thought-provoking exploration of walking as a political and cultural activity, from the author of Orwell's Roses Drawing together many histories--of anatomical evolution and city design, of treadmills and labyrinths, of walking clubs and sexual mores--Rebecca Solnit creates a fascinating portrait of the range of possibilities presented by walking. Arguing that the history of walking includes walking for pleasure as well as for political, aesthetic, and social meaning, Solnit focuses on the walkers whose everyday and extreme acts have shaped our culture, from philosophers to poets to mountaineers. She profiles some of the most significant walkers in history and fiction--from Wordsworth to Gary Snyder, from Jane Austen's Elizabeth Bennet to Andre Breton's Nadja--finding a profound relationship between walking and thinking and walking and culture. Solnit argues for the necessity of preserving the time and space in which to walk in our ever more car-dependent and accelerated world.",http://books.google.com/books/content?id=yfMNDX8VIj4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Qualinesti (Dragonlance,Paul B. Thompson,,2004,,https://openlibrary.org/works/OL14935373W,311,Fantasy fiction,"When Kith-Kanan of Qualinost, a society of renegade elves, is appointed Speaker of the Suns, his triumph is marred by memories of past failures, his unfaithful wife, and the strange behavior of his successor, his son.",
Heart of Darkness,Joseph Conrad,Courier Corporation,1899,,https://openlibrary.org/works/OL38663W,82,Fiction,"Dark allegory describes the narrator's journey up the Congo River and his meeting with, and fascination by, Mr. Kurtz, a mysterious personage who dominates the unruly inhabitants of the region. Masterly blend of adventure, character development, psychological penetration. Considered by many Conrad's finest, most enigmatic story.",http://books.google.com/books/content?id=cWDcDAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Reign of Istar,Richard A. Knaak,,1992,,https://openlibrary.org/works/OL15075786W,,,,
The Oath and the Measure,Michael Williams,Wizards of the Coast,1992,,https://openlibrary.org/works/OL4652762W,294,Fiction,"New York Times–bestselling series: Discover the backstory of Sturm Brightblade, the noble Solamnic Knight and future Hero of the Lance Although twins Raistlin and Caramon Majere urge him not to go, Sturm Brightblade attends an annual Solamnic ceremony that is interrupted by a stranger who offers a taunting challenge and clues from the past. He speaks of death . . . Once young Sturm accepts a mysterious gauntlet, he must undertake a dangerous journey with some curious friends, rescue a fair if querulous maid, defeat a traitor knight, and learn the secret fate of his long-lost father. And most important of all, he must learn the true meaning of honor.",http://books.google.com/books/content?id=I9CxeDNytFkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Star Wars The High Republic - Cataclysm,Lydia Kang,Random House Worlds,2023,,https://openlibrary.org/works/OL28402649W,419,Fiction,"After the thrilling events of The High Republic: Convergence, the Jedi race to confront the Path of the Open Hand and end the Forever War. After five years of conflict, the planets Eiram and E’ronoh are on the cusp of real peace. But when news breaks of a disaster at the treaty signing on Jedha, violence reignites on the beleaguered worlds. Together, the royal heirs of both planets—Phan-tu Zenn and Xiri A’lbaran—working alongside the Jedi, have uncovered evidence that the conflict is being orchestrated by outside forces, and all signs point to the mysterious Path of the Open Hand, whom the Jedi also suspect of causing the disaster on Jedha. With time—and answers—in short supply, the Jedi must divide their focus between helping quell the renewed violence on Eiram and E’ronoh and investigating the Path. Among them is Gella Nattai, who turns to the one person she believes can unravel the mystery but the last person she wants to trust: Axel Greylark. The chancellor’s son, imprisoned for his crimes, has always sought to unburden himself of the weight of his family name. Will he reconcile with the Jedi and aid in their quest for justice and peace, or embrace the Path’s promise of true freedom? As all roads lead to Dalna, Gella and her allies prepare to take on a foe unlike any they’ve ever faced. And it will take all of their trust in the Force, and in one another, to survive.",http://books.google.com/books/content?id=8CZ0EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Steel and stone,Ellen Porath,,1992,,https://openlibrary.org/works/OL16007439W,,,,
War of the Lance,"Margaret Weis, Tracy Hickman, Jamie Chambers, Roger E. Moore, Nancy V. Berberick, Michael Williams, Richard A. Knaak",,1992,,https://openlibrary.org/works/OL15108291W,343,Fiction,Presents the history of the war between the followers of Takhisis and the minions of Paladine with tales told from the perspective of some of the supporting characters.,http://books.google.com/books/content?id=KOYtHQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The students' companion,Wilfred D. Best,,1963,,https://openlibrary.org/works/OL15845364W,217,English language,,
The Covenant of the Forge,Dan Parkinson,Wizards of the Coast,1993,,https://openlibrary.org/works/OL4323279W,281,Fiction,"The long-awaited historical saga of the rivalrous dwarven clans of Krynn and the birth of the legendary Thorbardin—told here for the very first time An old dwarven chieftain, Colin Stonetooth, leads a tribe of Hylar in a migration across Ansalon, pursuing a vision of a new home. Hordes of dangerous outsiders, fleeing the Dragon Wars, sweep across the countryside. Evil magic, strange knights, and precocious kender abound, endandering Stonetooth and his followers during their journey. In the Kharolis Mountains, in Kal Thax, the Hylar come upon squabbling dwarven clans and knit them into the new nation of Thorbardin. But a Theiwar assassin precipitates a civil war, a curse is fulfilled—and a child is born destined to become the Father of Kings.",http://books.google.com/books/content?id=v3sZAl8a70QC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Before the mask,"Williams, Michael",,1993,,https://openlibrary.org/works/OL2643210W,,,,
Hammer and axe,Dan Parkinson,Wizards of the Coast,1993,,https://openlibrary.org/works/OL4323260W,283,Fiction,"When the humans of Ergoth threaten Thorbardin, the kingdom’s dwarven clans are drawn into the territory wars between humans and elves The humans of Ergoth continue to encroach upon Thorbardin, but the worst threat to the dwarven fortress comes from a mysterious fog-beast and a covetous wizard. A Cobar, a kender, and a giant raptor add to the confusion as the dwarves are faced with wizards who command not only the forces of magic but thousands of mercenaries as well. And, unknown to the dwarves who valiantly fight the invaders, the beast has already claimed Thorbardin as its own. With Hammer and Axe, the author of The Covenant of the Forge continues the sweeping historical saga of the fractious dwarven races who inhabit the world of Krynn in the popular Dragonlance books.",http://books.google.com/books/content?id=v9pqumTxTzMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
