Title,Matched Title,Author(s),Series,Publisher,Publish Year,ISBN,OL Work Key
The Siege of Mt. Nevermind,"The Siege of Mt. Nevermind (Dragonlance Chaos War, Vol. 5)",Fergus Ryan,,,1999,,https://openlibrary.org/works/OL6011956W
Heroes and Fools,Heroes and Fools,"Margaret Weis, Tracy Hickman",,,1999,,https://openlibrary.org/works/OL15108248W
Dalamar the Dark,Dalamar the Dark,Nancy Varian Berberick,,,2000,,https://openlibrary.org/works/OL4652688W
The Best of Tales: Volume One,"Best Known Works of Oscar Wilde - Including The Poems, Novels, Plays, Essays, Fairy Tales and Dialogues - Six Volumes in One",Oscar Wilde,,,,,https://openlibrary.org/works/OL31413606W
Dragons of a Fallen Sun,Dragons of a Fallen Sun,"Margaret Weis, Tracy Hickman",,,2000,,https://openlibrary.org/works/OL73408W
Rebels and Tyrants,Rebels and Tyrants,Nicholas Rzhevsky,,,2011,,https://openlibrary.org/works/OL20667008W
Downfall,Downfall,Jean Rabe,,,2000,,https://openlibrary.org/works/OL523429W
The Clandestine Circle,"The Clandestine Circle (Dragonlance Crossroads, Vol. 1)",Mary H. Herbert,,,2000,,https://openlibrary.org/works/OL4323294W
The Citadel,The Citadel,A. J. Cronin,,,1937,,https://openlibrary.org/works/OL4189809W
Children of the Plains,"Children of the Plains (Dragonlance Barbarians, Vol. 1)",Paul B. Thompson,,,2000,,https://openlibrary.org/works/OL14935353W
Bertrem’s Guide to the Age of Mortals,Bertrem's Guide to the Age of Mortals,Paul B. Thompson,,,2000,,https://openlibrary.org/works/OL14935350W
Draconian Measures,"Draconian Measures (Dragonlance Kang's Regiment, Vol. 2)",Don Perrin,,,2000,,https://openlibrary.org/works/OL8166149W
The Thieves’ Guild,"The Thieves' Guild (Dragonlance Crossroads, Vol. 2)",Jeff Crook,,,2000,,https://openlibrary.org/works/OL6039767W
The Messenger,Messenger (The Giver #3),"Lois Lowry, David Morse, Fikret Topalli",,,2004,,https://openlibrary.org/works/OL1846138W
The Inheritance,The inheritance of loss,Kiran Desai,,,2005,,https://openlibrary.org/works/OL97945W
Dragons of a Lost Star,Dragons of a Lost Star,"Margaret Weis, Tracy Hickman",,,2001,,https://openlibrary.org/works/OL73409W
Betrayal,True Betrayals,Nora Roberts,,,1995,,https://openlibrary.org/works/OL111635W
Dragon’s Bluff,Dragon's bluff,Mary H. Herbert,,,2001,,https://openlibrary.org/works/OL4323298W
Brother of the Dragon,Triumph of the Dragon (Brothers of the Dragon),Robin Wayne Bailey,,,1995,,https://openlibrary.org/works/OL8166093W
"""Bertrem’s Guide to the War of Souls, Vol. 1""",Not Found,Not Found,,Not Found,Not Found,Not Found,Not Found
The Search for Magic,Minecraft : the Search for Magic,Vincent Verret,,,2019,,https://openlibrary.org/works/OL29781678W
Chosen of the Gods,Chosen of the Gods,Chris Pierson,,,2001,,https://openlibrary.org/works/OL5739905W
Conundrum,Conundrum,Jeff Crook,,,2001,,https://openlibrary.org/works/OL6039764W
The Best of Tales: Volume Two,Fairy Tales; Selected from the Best Authors. in Two Volumes. ... of 2; Volume 2,Multiple Contributors,,,2018,,https://openlibrary.org/works/OL24365706W
The Golden Orb,The Golden Orb,Douglas Niles,,,2002,,https://openlibrary.org/works/OL1635381W
Sister of the Sword,Sister of the Sword,"Thompson, Paul B., Tonya C. Cook",,,2002,,https://openlibrary.org/works/OL4654089W
Dragons of a Vanished Moon,Dragons of a Vanished Moon,"Margaret Weis, Tracy Hickman",,,2000,,https://openlibrary.org/works/OL73426W
Redemption,Rhys's Redemption,Anne McAllister,,,2000,,https://openlibrary.org/works/OL4580338W
The Lioness,The Lioness,Nancy Varian Berberick,,,2002,,https://openlibrary.org/works/OL4652696W
Divine Hammer,Divine hammer,Chris Pierson,,,2002,,https://openlibrary.org/works/OL5739908W
"""Bertrem’s Guide to the War of Souls, Vol. 2""",Not Found,Not Found,,Not Found,Not Found,Not Found,Not Found
The Dragon Isles,The Dragon isles,Stephen D. Sullivan,,,2002,,https://openlibrary.org/works/OL6022002W
Winterheim,Winterheim,Douglas Niles,,,2003,,https://openlibrary.org/works/OL1635419W
The Players of Gilean,The Players of Gilean,"Margaret Weis, Tracy Hickman",,,2003,,https://openlibrary.org/works/OL8571880W
A Warrior’s Journey,A warrior's journey,"Thompson, Paul B.",,,2003,,https://openlibrary.org/works/OL4654090W
Night of Blood,Night of Blood,Richard A. Knaak,,,2003,,https://openlibrary.org/works/OL2992972W
The Middle of Nowhere,Message From The Middle Of Nowhere,Gunnar Andri Thorisson,,,2017,,https://openlibrary.org/works/OL28592745W
City of the Lost,Keeper of the Lost Cities,Shannon Messenger,,,2012,,https://openlibrary.org/works/OL16361049W
Dark Thane,Dark thane,Jeff Crook,,,2003,,https://openlibrary.org/works/OL6039765W
Sacred Fire,Preaching with sacred fire,M. Simmons,,,2010,,https://openlibrary.org/works/OL8165147W
The Wizard’s Fate,The wizard's fate,"Thompson, Paul B.",,,2004,,https://openlibrary.org/works/OL4654091W
Tides of Blood,Tides of Blood,Richard A. Knaak,,,2004,,https://openlibrary.org/works/OL2992997W
The Search for Power,The Search for Power,Margaret Weis,,,2004,,https://openlibrary.org/works/OL16551363W
Prisoner of Haven,Prisoner of Haven,Nancy Varian Berberick,,,2004,,https://openlibrary.org/works/OL4652693W
Wizards’ Conclave,The Wizards Conclave,Douglas Niles,,,2004,,https://openlibrary.org/works/OL1635420W
Flight of the Fallen,Flight of the fallen,Mary H. Herbert,,,2004,,https://openlibrary.org/works/OL4323299W
Amber and Ashes,Amber and Ashes,Margaret Weis,,,2004,,https://openlibrary.org/works/OL15108237W
The Lake of Death,The lake of death,Jean Rabe,,,2004,,https://openlibrary.org/works/OL523414W
Dragons in the Archives: The Best of Weis and Hickman,Not Found,Not Found,,Not Found,Not Found,Not Found,Not Found
A Hero’s Justice,A hero's justice,"Thompson, Paul B.",,,2004,,https://openlibrary.org/works/OL4654084W
Return of the Exile,Return of the Exile (Dragonlance,Mary H. Herbert,,,2005,,https://openlibrary.org/works/OL4323303W
Lord of the Rose,Lord of the Rose,Douglas Niles,,,2005,,https://openlibrary.org/works/OL1635393W
Blades of the Tiger,Blades of the tiger,Chris Pierson,,,2005,,https://openlibrary.org/works/OL5739904W
Empire of Blood,Empire of Blood,Richard A. Knaak,,,2005,,https://openlibrary.org/works/OL2992951W
Amber and Iron,Amber and Iron,Margaret Weis,,,2005,,https://openlibrary.org/works/OL73405W
Sanctuary,Sanctuary,William Faulkner,,,1931,,https://openlibrary.org/works/OL82925W
Saving Solace,"Saving Solace (Dragonlance: Champions, Vol. 1)",Douglas W. Clark,,,2006,,https://openlibrary.org/works/OL4331950W
Trail of the Black Wyrm,Trail of the Black Wyrm,Chris Pierson,,,2006,,https://openlibrary.org/works/OL5739912W
The Crown and the Sword,The Crown and the Sword,Douglas Niles,,,2005,,https://openlibrary.org/works/OL1635358W
Dragons of the Dwarven Depths,"Dragons of the Dwarven Depths (Dragonlance: The Lost Chronicles, Vol. 1)","Margaret Weis, Tracy Hickman, Sandra Burr",,,2006,,https://openlibrary.org/works/OL15108310W
The Alien Sea,"The Alien Sea (Dragonlance: Champions, Vol. 2)",Lucien Soulban,,,2006,,https://openlibrary.org/works/OL8572010W
Alliances,Star Wars - Thrawn - Alliances,Timothy Zahn,,,2018,,https://openlibrary.org/works/OL19657298W
The Measure and the Truth,The Measure And The Truth,Douglas Niles,,,2007,,https://openlibrary.org/works/OL1635364W
The Great White Wyrm,The Great White Wyrm,Peter Archer,,,2007,,https://openlibrary.org/works/OL7434912W
Dragons of Time,Dragons of Time,"Margaret Weis, Tracy Hickman",,,2007,,https://openlibrary.org/works/OL15108312W
Shadow of the Flame,Shadow of the Flame,Chris Pierson,,,2007,,https://openlibrary.org/works/OL5739910W
Dragons of the Highlord Skies,Dragons of the Highlord Skies,"Margaret Weis, Tracy Hickman",,,2007,,https://openlibrary.org/works/OL15108479W
The Rebellion,"Native life in South Africa, before and since the European war and the Boer rebellion","Sol T. Plaatje, Solomon Tshekisho Plaatje, Brian Willan, Bessie Head",,,1910,,https://openlibrary.org/works/OL2849786W
Destiny,"Watch Your Thoughts, for They Become Your Words. Watch Your Words, for They Become Your Actions. Watch Your Actions, for They Become Your Habits. Watch Your Habits, for They Become Your Character. Watch Your Character, for It Becomes Your Destiny. What We",Premier Publishing,,,2019,,https://openlibrary.org/works/OL30299338W
Protecting Palanthas,Protecting Palanthas,Douglas W. Clark,,,2007,,https://openlibrary.org/works/OL4331948W
The Secret of Pax Tharkas,The Secret of Pax Tharkas,Douglas Niles,,,2007,,https://openlibrary.org/works/OL1635407W
The Black Talon,"The Weird Menace Collection - Black Talons, Moon of Zambebwei, Skull-Face & Black Wind Blowing",Robert E. Howard,,,2011,,https://openlibrary.org/works/OL20435091W
The Sellsword,"Sellsword, The",Cam Banks,,,2008,,https://openlibrary.org/works/OL8953602W
Renegade Wizards,Renegade Wizards,Lucien Soulban,,,2009,,https://openlibrary.org/works/OL14951722W
Dragons of the Hourglass Mage,Dragons of the Hourglass Mage,"Margaret Weis, Tracy Hickman, Sandra Burr, Rocío Monasterio",,,2008,,https://openlibrary.org/works/OL15108474W
The Gargoyle King,The Gargoyle King,Richard A. Knaak,,,2009,,https://openlibrary.org/works/OL16821307W
The Forest King,The Forest King,Paul B. Thompson,,,2009,,https://openlibrary.org/works/OL14935365W
The Survivors,The Memoirs of a Survivor,Doris Lessing,,,1974,,https://openlibrary.org/works/OL31251W
Dragons of Deceit,Dragons of Deceit,"Margaret Weis, Tracy Hickman",,,2022,,https://openlibrary.org/works/OL26980636W
Dragons of Eternity,Dragons of Eternity,"Margaret Weis, Tracy Hickman",,,2024,,https://openlibrary.org/works/OL37825953W
The Forest King,The Forest King,Paul B. Thompson,,,2009,,https://openlibrary.org/works/OL14935365W
The Survivors,The Memoirs of a Survivor,Doris Lessing,,,1974,,https://openlibrary.org/works/OL31251W
